Frame,FPS_Pipeline,FPS_Detection_Recognition
407,711.8642226748133,0
408,701.3886287625418,0
409,713.924085106383,0
410,77.17352665182432,84.2229718875502
411,1275.639902676399,0
412,1245.3396674584324,0
413,1771.2432432432433,0
414,1717.5692055692057,0
415,1871.6215975011155,0
416,1417.473470767151,0
417,1869.1194295900177,0
418,1298.5461300309598,0
419,1655.8641926569285,0
420,135.30012903225807,146.3010220098364
421,968.2142197599261,0
422,903.7500538677009,0
423,999.1195807527394,0
424,1009.7024554646124,0
425,1021.2573654735817,0
426,985.272257458304,0
427,1018.529383195726,0
428,989.9230587679962,0
429,995.5623071445526,0
430,109.73820674498313,118.93336357965178
431,1655.2107340173638,0
432,1233.6188235294117,0
433,1221.7605592775997,0
434,699.9839786381842,0
435,711.2606410039003,0
436,673.3510996949751,0
437,705.6366083445491,0
438,1690.5699314792423,0
439,1976.5805843543826,0
440,78.77810750910935,84.72827909419631
441,865.3402104394471,0
442,1877.4861235452104,0
443,818.2411236831838,0
444,692.7009083402147,0
445,710.8989830508475,0
446,1474.272056239016,0
447,1846.0845070422536,0
448,696.7282392026578,0
449,704.0966929662582,0
450,139.82877717028938,150.92310460220935
451,980.2065903248423,0
452,638.208155812538,0
453,722.7820093055316,0
454,1929.3026678932843,0
455,1599.6582761250954,0
456,1916.0822293284605,0
457,712.8320870156356,0
458,712.4688296245965,0
459,680.2309438858255,0
460,82.59918470233758,87.76714306639603
461,950.8737247789617,0
462,1419.3922165820643,0
463,1476.347764871524,0
464,999.5958055290753,0
465,1149.1243835616438,0
466,999.3576364069573,0
467,655.36,0
468,598.7586009992863,0
469,1235.799646434885,0
470,20.843851410113057,21.22397923297625
471,1655.2107340173638,0
472,453.63443651308677,0
473,861.9613645704891,0
474,969.5570966250577,0
475,1366.2228013029317,0
476,989.6894761680038,0
477,877.836751778987,0
478,929.3826722800798,0
479,829.5696202531645,0
480,122.10491994177583,133.0215977926485
481,1036.9107540173054,0
482,1334.915340547422,0
483,1314.4167972422438,0
484,1100.0010490427485,0
485,1076.0143663417136,0
486,1319.3784208870713,0
487,1095.1185378590078,0
488,1072.4377397085145,0
489,1084.3598759048605,0
490,124.30513899591014,135.09095593919093
491,1842.8400702987697,0
492,1076.5667351129364,0
493,1328.1519949335022,0
494,1766.7666385846671,0
495,1079.059428865449,0
496,1084.3598759048605,0
497,1043.3592039800994,0
498,1073.810547875064,0
499,1089.146715138925,0
500,116.81345736088676,126.27360308285164
501,1164.1143491534833,0
502,1139.4468894322195,0
503,1736.0529801324503,0
504,1129.0185733512785,0
505,726.7898111245885,0
506,726.412192587461,0
507,637.7229740003041,0
508,1309.4923509210116,0
509,1404.186139939739,0
510,79.41050399485025,85.05645684620376
511,767.4847209515096,0
512,1596.0060882800608,0
513,936.646717284502,0
514,713.5597141884995,0
515,720.4232222603916,0
516,712.2268636440822,0
517,736.87702037948,0
518,780.6260934301135,0
519,786.1863167760075,0
520,85.96118295657163,93.67931565899092
521,1855.0659000442283,0
522,1988.764343290659,0
523,1347.351108255702,0
524,751.5327002329332,0
525,726.1606648199446,0
526,1983.1224586288415,0
527,789.5903614457832,0
528,720.299501974927,0
529,736.1010881010881,0
530,140.13711994654193,150.89595625269823
531,1767.511167298778,0
532,998.1684911946692,0
533,709.3360392355826,0
534,714.8975626384864,0
535,723.5301017767811,0
536,1082.6804336602995,0
537,1689.2082158679018,0
538,1965.4657919400188,0
539,729.5710558357976,0
540,82.1172739197682,88.08232181107985
541,648.8712871287129,0
542,586.8621799356373,0
543,734.1683878872747,0
544,722.657477601654,0
545,709.0961961115808,0
546,1952.655493482309,0
547,1770.4955677501055,0
548,1244.2313853455948,0
549,712.3478260869565,0
550,121.7752228319252,131.0228664250906
551,1762.312605042017,0
552,1101.1562089787346,0
553,662.188822229239,0
554,717.5883661248931,0
555,1470.6535764375876,0
556,1984.0605487228004,0
557,737.9141449683322,0
558,705.5179142136249,0
559,1576.806015037594,0
560,78.03501460492288,81.99687206756334
561,1863.3069746779208,0
562,849.7374392220421,0
563,1454.3356449375867,0
564,1385.630657416584,0
565,735.0690501226779,0
566,2016.4923076923078,0
567,1585.7482041587903,0
568,1716.866148178469,0
569,709.4560216508796,0
570,123.63096150445087,132.31660304741476
571,1288.5726574500768,0
572,1787.85336743393,0
573,454.9630111725784,0
574,663.1310671936759,0
575,1580.3707611152977,0
576,1897.0167345092718,0
577,629.0197960407918,0
578,679.0195887971507,0
579,712.4688296245965,0
580,119.71070582527042,129.69400123685838
581,1223.185768445611,0
582,1107.260823653643,0
583,733.6547140108448,0
584,585.5513053190004,0
585,837.0193574136899,0
586,1318.9635220125786,0
587,690.0796314577163,0
588,722.2841398312381,0
589,694.0764520933311,0
590,102.60792132495047,112.61085754174945
591,1204.5674899483056,0
592,1261.8243080625753,0
593,873.9954157116066,0
594,744.1987224982257,0
595,654.7461754605058,0
596,1228.5600468658465,0
597,1009.2165543792108,0
598,464.07435273290554,0
599,657.0025062656641,0
600,100.42388545707034,110.29805138454256
601,1076.843132220796,0
602,1032.0629921259842,0
603,1609.4796623177283,0
604,1034.353637484587,0
605,830.0621413021967,0
606,720.6707903780069,0
607,1465.5150244584206,0
608,1252.4048969841745,0
609,470.6883626977893,0
610,84.44680679713296,92.59766866831508
611,1353.8747579083279,0
612,1263.3445783132531,0
613,2088.796812749004,0
614,703.3882274023143,0
615,684.4490861618799,0
616,2137.769622833843,0
617,1235.799646434885,0
618,714.4104922500426,0
619,708.6169961142085,0
620,126.7697515565496,136.97922926192032
621,1176.192933258553,0
622,1363.1147221319468,0
623,661.1450189155107,0
624,712.2268636440822,0
625,1477.908386187456,0
626,2145.424040920716,0
627,710.176769387064,0
628,586.7800783435927,0
629,1325.2145339652448,0
630,119.0244899117455,129.40989170343403
631,1116.6943556975507,0
632,1304.1990049751244,0
633,833.1950735001986,0
634,475.38297631191205,0
635,709.8162125571163,0
636,2053.01223690651,0
637,1259.1726208345842,0
638,2162.0123711340207,0
639,736.6181945907973,0
640,122.52224461776649,141.92001082763755
641,1552.2960769800147,0
642,1339.6052379431492,0
643,736.87702037948,0
644,789.293187805796,0
645,1585.148904006047,0
646,1743.9933471933473,0
647,705.2806457037161,0
648,601.7652797704447,0
649,1086.8888313034465,0
650,131.080192512032,140.0762782620312
651,1467.0528156698147,0
652,1527.4231609613985,0
653,1833.1748251748252,0
654,1787.85336743393,0
655,676.0644745325596,0
656,2076.388118811881,0
657,1960.871435250117,0
658,1558.0624071322436,0
659,733.1417584338402,0
660,128.6083463649465,137.4821030549364
661,1378.7981591058515,0
662,944.4503490204909,0
663,661.3535162409335,0
664,723.1558620689655,0
665,717.4656175162504,0
666,1857.5305580159434,0
667,1120.2735042735044,0
668,1197.3462746217529,0
669,624.2452745944337,0
670,121.84951484515717,132.69754492533536
671,1296.940012368584,0
672,1793.9709153122326,0
673,609.106012198664,0
674,2092.9660678642713,0
675,2068.197238658777,0
676,1027.0088148873654,0
677,702.798927613941,0
678,1626.3295851105079,0
679,2169.8416968442834,0
680,71.76497561810248,74.4264750243989
681,1823.6104347826088,0
682,1789.3788395904437,0
683,1368.4515497553018,0
684,1085.4824016563148,0
685,684.7843265306122,0
686,2052.0078277886496,0
687,982.2725995316159,0
688,1312.7712050078246,0
689,630.7224060150376,0
690,94.26249550521395,105.77519985877487
691,1202.4954128440368,0
692,1309.9013116801998,0
693,1118.4810666666667,0
694,685.9041700735895,0
695,1718.2728390004097,0
696,1092.5511852044804,0
697,896.2188034188034,0
698,689.512411638994,0
699,1137.2841648590022,0
700,108.91184336942692,117.34288272157565
701,1202.4954128440368,0
702,1215.7402898550724,0
703,1289.7613776137762,0
704,709.6961082910321,0
705,688.71986863711,0
706,1309.083645443196,0
707,1296.940012368584,0
708,733.7830650804758,0
709,624.7101578790587,0
710,97.2998352935718,106.27100435796088
711,1467.0528156698147,0
712,1844.4608619173264,0
713,604.0184331797235,0
714,631.8626092196445,0
715,1264.8685162846803,0
716,1181.8269935193011,0
717,721.042461750043,0
718,643.890696960393,0
719,1669.7070063694268,0
720,115.97047031824592,125.12840095465394
721,1018.7767792081613,0
722,1903.9055832955062,0
723,1351.2577319587629,0
724,714.1672058573131,0
725,598.8440890919475,0
726,1659.139240506329,0
727,1264.487187217365,0
728,686.4654664484452,0
729,729.5710558357976,0
730,77.11251654655096,81.08695820283803
731,1289.7613776137762,0
732,1209.0815797059672,0
733,746.5831256674974,0
734,1768.256323777403,0
735,2176.5978204462895,0
736,1332.7944073721005,0
737,753.4226693012395,0
738,730.7149825783972,0
739,1577.3990221887927,0
740,134.80872946999648,146.20922369017325
741,2030.1568247821879,0
742,1355.6250808015513,0
743,1362.2292952257226,0
744,1892.7364620938629,0
745,721.5386203337347,0
746,709.0961961115808,0
747,1797.8156879554222,0
748,2211.019504480759,0
749,2089.837568510214,0
750,102.49007917114652,112.16216071667336
751,1833.1748251748252,0
752,1743.2684954280965,0
753,1350.822544283414,0
754,737.9141449683322,0
755,733.7830650804758,0
756,1699.4748784440842,0
757,1279.5314215985356,0
758,656.5911083281152,0
759,723.7798101811907,0
760,76.41289852432136,81.48868294767928
761,1320.624685138539,0
762,1291.3497536945813,0
763,2008.766283524904,0
764,747.2481738820595,0
765,754.9143268538517,0
766,748.4482512491078,0
767,688.2678043977683,0
768,1691.9338442920532,0
769,1412.223569023569,0
770,78.40260201506626,84.88947357768828
771,1514.7360057782594,0
772,1859.177304964539,0
773,1385.630657416584,0
774,1667.052464228935,0
775,1600.879389312977,0
776,1569.1372989150766,0
777,1628.8559223300972,0
778,1679.73728474169,0
779,667.8828025477707,0
780,100.40705719005099,110.41710103722424
781,1762.312605042017,0
782,1326.471853257432,0
783,1295.33786287832,0
784,716.8525038454965,0
785,721.5386203337347,0
786,741.1740590210285,0
787,716.1181492231518,0
788,1326.891490034799,0
789,1977.5124941065535,0
790,82.34943945968233,88.20457604306864
791,1833.9763882815917,0
792,1292.1454097350586,0
793,1653.9053627760252,0
794,1754.938912133891,0
795,725.9093111803393,0
796,749.6521894548704,0
797,724.9056342896647,0
798,1842.0307422046553,0
799,1711.2623419012648,0
800,78.56120174567795,82.31711577335976
801,1488.925807596734,0
802,1864.9639839928857,0
803,2095.056943056943,0
804,1920.4688644688645,0
805,683.1114006514658,0
806,742.3546902654867,0
807,1199.7437070938215,0
808,1802.4512247529008,0
809,724.029691006387,0
810,111.7825275838175,122.87760004687408
811,1902.1786848072563,0
812,1891.029756537421,0
813,1928.415632183908,0
814,1876.6460850111857,0
815,752.4764980265519,0
816,725.7836996020072,0
817,661.979797979798,0
818,1387.4641085014887,0
819,1340.461489293704,0
820,76.02233016747626,78.7840264472745
821,1369.345086516487,0
822,1803.226139294927,0
823,1741.8205980066446,0
824,1385.1730515191546,0
825,749.1166279692802,0
826,713.0744644678681,0
827,738.173882435762,0
828,1994.4384213029007,0
829,1314.4167972422438,0
830,64.01269783129588,66.08429311947565
831,1278.7512195121951,0
832,1347.784061696658,0
833,726.5380218257405,0
834,729.5710558357976,0
835,1191.5636363636363,0
836,1824.4036537625054,0
837,797.2446302984224,0
838,739.0844052863437,0
839,1021.506088650755,0
840,90.20784583620096,95.80848828178537
841,1315.6537013801756,0
842,2005.8842659014826,0
843,1367.5591783501793,0
844,859.3124359762344,0
845,736.6181945907973,0
846,746.9820124666073,0
847,625.6420047732697,0
848,749.3843130248347,0
849,723.904729030031,0
850,87.2250551095953,93.85750089509489
851,902.3889845094665,0
852,744.5950647967335,0
853,535.6026050312859,0
854,2006.844019138756,0
855,1297.3411691927004,0
856,1208.036866359447,0
857,725.6581314878892,0
858,727.29391364661,0
859,551.5192636423405,0
860,101.62835889607715,113.24632124632124
861,1137.2841648590022,0
862,1382.4337508239946,0
863,1794.7385537013265,0
864,739.0844052863437,0
865,750.5912670007158,0
866,1997.287619047619,0
867,1538.065273193986,0
868,741.5671852899576,0
869,667.6701687360713,0
870,127.88291969022501,136.92109816211274
871,1284.6260336906585,0
872,2219.2084656084658,0
873,640.0585991149092,0
874,751.802115074386,0
875,1428.5776566757493,0
876,1840.4142167617376,0
877,2235.769722814499,0
878,708.6169961142085,0
879,686.915165411071,0
880,83.4205930905547,89.48230324493845
881,742.4861037351743,0
882,1335.3403374721427,0
883,2232.2001064395954,0
884,2211.019504480759,0
885,741.4360968711331,0
886,788.6995110943964,0
887,1367.5591783501793,0
888,1362.6718648473034,0
889,565.5749730312837,0
890,62.84731337468908,66.50341689260968
891,1404.6563965170797,0
892,978.1492537313433,0
893,730.4604667363288,0
894,1955.3864801864802,0
895,1798.5866209262435,0
896,1972.8617121354657,0
897,602.1108240022969,0
898,695.1117003646006,0
899,729.9519665854508,0
900,137.2975874824053,149.6682843277191
901,1019.0242954324586,0
902,1994.4384213029007,0
903,735.3267882187938,0
904,707.3025295109612,0
905,2173.2145077720206,0
906,2183.396147839667,0
907,2226.276008492569,0
908,753.2873563218391,0
909,752.0717231486462,0
910,102.1978996613143,112.30932362234242
911,1981.248937175248,0
912,1204.9135305946568,0
913,742.4861037351743,0
914,655.8724003127443,0
915,747.1150694691842,0
916,743.4073023750443,0
917,751.6673835125448,0
918,760.5265639165912,0
919,735.1978965819457,0
920,83.48036542403916,89.76189355190789
921,1558.641397250093,0
922,1800.90339201374,0
923,1255.4037713259504,0
924,2007.8046912398277,0
925,745.3890172383153,0
926,706.3496126641967,0
927,678.1413096200486,0
928,1664.4063492063492,0
929,1222.1165501165501,0
930,76.25036813496465,80.31064986788189
931,962.2170222528102,0
932,2086.718407960199,0
933,1349.0845931167578,0
934,1350.822544283414,0
935,478.96585588671917,0
936,752.611519827741,0
937,1500.6454382826475,0
938,2218.034902168165,0
939,713.4383398537166,0
940,113.66677506775068,125.13960079959423
941,1064.0040588533739,0
942,1336.61695347355,0
943,2154.2393425783257,0
944,739.475317348378,0
945,739.7361552028219,0
946,665.3401015228426,0
947,477.2762858443332,0
948,1363.557867360208,0
949,1371.5840418574232,0
950,76.64749095427798,79.44660378073266
951,1824.4036537625054,0
952,1261.065544197234,0
953,747.6477718360071,0
954,1169.3069417340396,0
955,1343.4670083279948,0
956,1395.7750415973378,0
957,740.1277571907535,0
958,748.8491340831994,0
959,481.053331804106,0
960,140.44682560942942,151.10252900064847
961,1709.867101508357,0
962,1721.799671592775,0
963,735.1978965819457,0
964,748.0477973961121,0
965,1972.8617121354657,0
966,1260.6865043582807,0
967,850.426601784266,0
968,737.6545902215969,0
969,1977.5124941065535,0
970,131.50349584574386,142.59065102838687
971,1278.361475160012,0
972,1607.0130268199234,0
973,728.810425716768,0
974,662.6072669826224,0
975,743.8028019152332,0
976,2239.350774159103,0
977,2149.822655048693,0
978,1050.6773547094188,0
979,718.3257407090255,0
980,140.73901080464398,150.41973891837614
981,771.8630842841369,0
982,1681.0837675350701,0
983,474.1469590775492,0
984,715.5073353804163,0
985,2222.7366189719132,0
986,1923.9926605504588,0
987,662.188822229239,0
988,716.1181492231518,0
989,1359.5799027552673,0
990,133.495782806582,145.15673992040146
991,1115.5063829787234,0
992,1855.0659000442283,0
993,727.5462272333044,0
994,749.6521894548704,0
995,1457.8741744873132,0
996,1750.5442404006678,0
997,744.5950647967335,0
998,662.2933838623086,0
999,1185.8365846762792,0
1000,63.855794409597465,67.85033243282592
1001,1878.3269144648455,0
1002,966.4294930875576,0
1003,726.9157712305026,0
1004,749.518227305218,0
1005,2010.692233940556,0
1006,1678.3929571828733,0
1007,1161.2137320044296,0
1008,749.6521894548704,0
1009,752.611519827741,0
1010,92.19263655346741,99.75749791889642
1011,1294.5382716049382,0
1012,1005.1052000958543,0
1013,1696.7249190938512,0
1014,902.9717976318623,0
1015,715.873698583376,0
1016,809.554912179116,0
1017,1108.431289640592,0
1018,1734.6170388751034,0
1019,1306.2298349423857,0
1020,127.16563077949246,137.6400091884619
1021,748.8491340831994,0
1022,1539.194128440367,0
1023,1610.715821812596,0
1024,1271.386480751743,0
1025,1563.8717375093213,0
1026,948.0795660036166,0
1027,744.9918294849023,0
1028,1981.248937175248,0
1029,1594.186240973014,0
1030,128.59651704684816,137.7665955000821
1031,1202.8402638371092,0
1032,1906.5018181818182,0
1033,1553.4459259259258,0
1034,2007.8046912398277,0
1035,736.3595505617977,0
1036,668.8413331207144,0
1037,714.6539444539104,0
1038,648.8712871287129,0
1039,747.9144079885878,0
1040,130.05997085180937,138.91183678876598
1041,1615.6795069337443,0
1042,1976.5805843543826,0
1043,736.4888498683056,0
1044,746.9820124666073,0
1045,2059.0594010800196,0
1046,1930.1905200184078,0
1047,1616.9252120277563,0
1048,740.3890556045895,0
1049,2219.2084656084658,0
1050,128.05862058437395,138.27527775030495
1051,1121.1718791766907,0
1052,1471.6856140350876,0
1053,2010.692233940556,0
1054,749.1166279692802,0
1055,726.7898111245885,0
1056,650.4813895781638,0
1057,745.1241783620536,0
1058,1963.625468164794,0
1059,1928.415632183908,0
1060,78.02920767212993,81.33067033798065
1061,772.4316758747698,0
1062,1822.02606429192,0
1063,1997.287619047619,0
1064,976.1005352571561,0
1065,750.5912670007158,0
1066,735.0690501226779,0
