iteration,train_loss,valid_loss,accuracy,norm_ED
1615,0.0067,0.16339,87.354,0.98
1620,0.02672,0.17217,85.857,0.98
1625,0.05173,0.17152,87.188,0.98
1630,0.01236,0.17652,86.023,0.97
1635,0.03824,0.20104,85.191,0.97
1640,0.03772,0.18818,82.196,0.97
1645,0.03148,0.17992,84.027,0.97
1650,0.02083,0.18121,85.025,0.97
1655,0.01015,0.18347,85.191,0.97
1660,0.05045,0.1801,85.857,0.97
1665,0.01786,0.18113,85.025,0.97
1670,0.07302,0.18888,84.359,0.97
1675,0.0298,0.21385,80.366,0.97
1680,0.04163,0.20434,82.862,0.97
1685,0.0561,0.22199,82.03,0.97
1690,0.09527,0.18112,85.358,0.97
1695,0.03149,0.179,84.526,0.97
1700,0.01712,0.17549,84.359,0.97
1705,0.03125,0.18362,85.358,0.97
1710,0.041,0.17128,84.859,0.97
1715,0.06713,0.18378,84.193,0.97
1720,0.08933,0.19671,81.864,0.97
1725,0.05405,0.22334,82.03,0.97
1730,0.04867,0.22701,80.532,0.97
1735,0.01348,0.21573,85.025,0.97
1740,0.03771,0.2034,85.191,0.97
1745,0.06066,0.20004,86.023,0.97
1750,0.03115,0.22319,82.862,0.97
1755,0.10105,0.17371,84.692,0.97
1760,0.04369,0.18394,85.358,0.97
1765,0.04221,0.17352,84.859,0.97
1770,0.05452,0.17881,84.526,0.97
1775,0.0245,0.17075,85.524,0.97
1780,0.02874,0.16712,85.191,0.97
1785,0.06547,0.1745,84.692,0.97
1790,0.01462,0.17766,84.859,0.97
1795,0.03921,0.17597,84.859,0.97
1800,0.03941,0.18196,85.025,0.97
1805,0.06513,0.18917,83.694,0.97
1810,0.05448,0.18478,83.694,0.97
1815,0.02515,0.17857,85.358,0.97
1820,0.05337,0.17596,84.692,0.97
1825,0.06435,0.18055,84.359,0.97
1830,0.02113,0.17553,85.691,0.97
1835,0.01927,0.18108,85.191,0.97
1840,0.02319,0.17985,85.857,0.97
1845,0.01342,0.1747,86.689,0.98
1850,0.0098,0.17487,87.687,0.98
1855,0.03567,0.16802,86.855,0.98
1860,0.04077,0.17799,86.19,0.98
1865,0.02641,0.18064,85.691,0.97
1870,0.02908,0.18529,87.188,0.98
1875,0.04778,0.18726,85.358,0.97
1880,0.02359,0.18576,85.025,0.97
1885,0.0327,0.18828,83.86,0.97
1890,0.02988,0.1755,85.191,0.97
1895,0.02698,0.18641,83.86,0.97
1900,0.03536,0.17108,85.191,0.97
1905,0.02875,0.17855,84.859,0.97
1910,0.02198,0.17877,85.857,0.97
1915,0.0255,0.17449,85.358,0.97
1920,0.03241,0.18243,84.692,0.97
1925,0.04883,0.19156,85.524,0.97
1930,0.01687,0.1807,85.025,0.97
1935,0.02438,0.17441,85.025,0.97
1940,0.03271,0.17169,86.19,0.98
1945,0.02528,0.1872,85.857,0.98
1950,0.01804,0.17659,86.356,0.98
1955,0.03565,0.17926,85.691,0.98
1960,0.03521,0.17995,86.023,0.98
1965,0.01086,0.18292,86.023,0.97
1970,0.01805,0.17697,86.19,0.98
1975,0.04727,0.17446,86.356,0.98
1980,0.02249,0.1755,87.687,0.98
1985,0.02709,0.17913,87.354,0.98
1990,0.011,0.17764,85.857,0.98
1995,0.01798,0.17485,85.691,0.98
2000,0.02328,0.1769,86.023,0.98
2005,0.03378,0.1753,85.691,0.98
2010,0.04097,0.18073,85.524,0.97
2015,0.03367,0.1767,85.691,0.98
2020,0.09082,0.17688,85.191,0.97
2025,0.03745,0.16712,85.524,0.97
2030,0.02109,0.17429,85.358,0.97
2035,0.04955,0.17056,86.689,0.98
2040,0.04456,0.20177,86.023,0.97
2045,0.01924,0.20348,85.691,0.97
2050,0.01247,0.20757,85.857,0.98
2055,0.03855,0.17135,85.857,0.98
2060,0.04633,0.16917,86.522,0.98
